Username,Hashtags,Headings,Likes,Comments,Repost,Replies
latestly,['RanveerSingh #DeepikaPadukone #Prabhas #Kalki2898AD #AmitabhBachchan'],"Ranveer Singh Reviews Kalki 2898 AD, Praises Wife Deepika Padukone Saying ‘You Are Beyond Compare’",,18,18,
narajahmundry,['NA'],#Bujji #Prabhas #Kalki #Anamkalakendram,18,560,560,
unartist_ai,"['Batman 4K Mobile Wallpaper 📱', 'wallpaper']",DC Comics Wallpaper 🤖,560,8,37,
chennaiipedia,['NA'],Thalapathy 😍🔥,92,1,153,
slurp_vision,['NA'],Worms 🐛 VS DRY TOMATO 🍅,153,2,1,
movies4u_official,['NA'],"Srikanth Odela Sambhavam 💥👌
#Nani33 #NaniOdela2 #Movies4u",7,254,254,
zain.mushtaq_,['NA'],A real example of function f(x),254,5,5,
redfmtelugu,['DigitalDouble #AmitabhBachchan #KamalHassan #Ashwatthama #Yaskin #Kalki2898AD #Trending #TrendingNow #RedFM #RedFMTelugu'],Digital Double of #AmitabhBachchan and #KamalHassan for #Ashwatthama and #Yaskin,,9.2K,9.2K,
pubbelss,['NA'],"Dog don't want to leave the fire fighter who saved him from the fire 🔥🔥 🔥🔥🔥.
doglover",9.2K,61,72,
battu._bro,['lordganesha #mahabharatam #lordkrishna #prabhasfans #prabhas #Kalki2898AD'],3 year's continuous ga rasi ..... Ganeshudi vegaaniki Kalam kuda panicheyakapoga....thana kommu ni virichi rasaadu 🤯🥵🔥🛐🙏.....,11,1.6K,1.6K,
madara_dusal,['NA'],Akatsuki Party be like: 🤯😂😂,1.6K,20,63,
peddlermedia,['Swipe to check it out..👈🏻\n.\n.\n.\n#kalki2898ad #deepikapadukone #ranveersingh #powercouple #movienight #bollywood #celebupdates #celebrity #bollywoodactor #bollywoodactress #peddlermedia #bollywoodbuzz'],"Last night, power couple @ranveersingh and @deepikapadukone had a movie night to watch Deepika’s new film, ‘Kalki 2898 AD.’
Ranveer later took to Instagram to applaud her outstanding performance and praise the entire team!",,4,4,
besant_technologies_headoffice,"['Congrats Sabitha Got Placed as a Java FullStack Developer', 'Sabitha Got Placed as a Java FullStack Developer 🔥', 'All The Best For Your Future ❤️', 'Get IT Jobs (Any Degree) from 𝐁𝐞𝐬𝐚𝐧𝐭 𝐓𝐞𝐜𝐡𝐧𝐨𝐥𝐨𝐠𝐢𝐞𝐬 𝐕𝐞𝐥𝐚𝐜𝐡𝐞𝐫𝐲🔥.']",B.E(ECE) To  IT Java FullStack Developer,4,20,20,
orey_battachary,['oreybattachary #insipiration #cricket #cricketer#ipl2024\n#gunturkaaram #maheshbabu #devara #telugumemes #crushmemes #telugutrolls #pawankalyan #salaar #prabhas #viratkohli #telugu #telugumemes #telugucomedy #telugusongs #telugutrolls #telugucinema #telugudubsmash #telugumovie #telugujokes #telugumusic #telugumovies #teluguactor #telugulovesongs #telugufunnymemes'],"💥🥵
,.
.",20,3,3,
iamkartikmalik,['NA'],"I am highly excited for the start of new DC universe and as a DC fan I will surely support that new superman and all the films or projects @jamesgunn will create in upcoming future. The new Superman looks amazing. But Henry Cavill Superman is very close to me & this flight scene is the best in whole film. 
@zsnyderofficial Gave us this epic Superman. As a DC fan I love this. Superman",3,1,1,
zeusofhollywood,['NA'],Taco Tuesday my ppl. Yaal know who you is. I chose NOT to tag you foo's hahabababa😂😂😂,51,8,3.6K,
bestmemejokes,['NA'],Threads,3.6K,15,58,
filtercricket,"['Mumbai - Suryakumar Yadav, Shivam Dube, Yashasvi Jaiswal. \nNagpur - Rohit Sharma.\nDelhi - Virat Kohli.\nUttarakhand - Rishabh Pant.\nBaroda - Hardik Pandya.\nAhmedabad - Jasprit Bumrah\nNadiad - Axar Patel\nJamnagar - Ravindra Jadeja\nHyderabad - Mohammed Siraj\nMadhya Pradesh - Arshdeep Singh\nKerala - Sanju Samson\nJind - Yuzvendra Chahal \nKanpur - Kuldeep Yadav.\nBengaluru - Rahul Dravid.', 'Almost entire country covered! 🤩']","If parade happens hometown wise, we will have victory parades in",173,1,811,
miok0._.07._.07,['NA'],........🍀🕊️🌷💐,811,15,33,
i__prabhas_,"['𝐔-𝐍-𝐒-𝐓-𝐎-𝐏-𝐏-𝐀-𝐁-𝐋-𝐄  at Box-office 🔥🔥', 'Prabhas #Kalki2898AD @vyjayanthimovies @kalki2898ad']",#Kalki2898AD collects 680 CR+ worldwide gross in 6 days,55,52,52,
mirchiplus,['NA'],You are a natural beauty ❤️,52,1,50,
_vardhandhfm_,"['SS Rajamouli has officially signed Prithviraj to play the antagonist in his upcoming film with Mahesh Babu. Prithviraj is thrilled about his first-ever collaboration with both Rajamouli and Mahesh Babu, especially since the character he will portray is well-written with its own compelling arc and backstory that justifies his actions. The film promises to push the boundaries of Indian cinema with never-seen-before visuals,']",#SSMB29 - 𝐌𝐚𝐡𝐞𝐬𝐡 𝐁𝐚𝐛𝐮 - 𝐒𝐒 𝐑𝐚𝐣𝐚𝐦𝐨𝐮𝐥𝐢 - 𝐏𝐫𝐢𝐭𝐡𝐯𝐢𝐫𝐚𝐣,50,1,178,
tanjiiro.tt,['NA'],Happy Birthday Tamayo sama ✨💜,178,,,
madara_dusal,['NA'],Akatsuki Party be like: 🤯😂😂,1.6K,20,63,
slurp_vision,['NA'],Worms 🐛 VS DRY TOMATO 🍅,153,2,1,
filtercricket,"['Mumbai - Suryakumar Yadav, Shivam Dube, Yashasvi Jaiswal. \nNagpur - Rohit Sharma.\nDelhi - Virat Kohli.\nUttarakhand - Rishabh Pant.\nBaroda - Hardik Pandya.\nAhmedabad - Jasprit Bumrah\nNadiad - Axar Patel\nJamnagar - Ravindra Jadeja\nHyderabad - Mohammed Siraj\nMadhya Pradesh - Arshdeep Singh\nKerala - Sanju Samson\nJind - Yuzvendra Chahal \nKanpur - Kuldeep Yadav.\nBengaluru - Rahul Dravid.', 'Almost entire country covered! 🤩']","If parade happens hometown wise, we will have victory parades in",173,1,18,
narajahmundry,['NA'],#Bujji #Prabhas #Kalki #Anamkalakendram,18,812,812,
miok0._.07._.07,['NA'],........🍀🕊️🌷💐,812,15,33,
i__prabhas_,"['𝐔-𝐍-𝐒-𝐓-𝐎-𝐏-𝐏-𝐀-𝐁-𝐋-𝐄  at Box-office 🔥🔥', 'Prabhas #Kalki2898AD @vyjayanthimovies @kalki2898ad']",#Kalki2898AD collects 680 CR+ worldwide gross in 6 days,56,44,44,
knowfact__,"['1. George Lucas - Net worth: $5.5 billion\n2. Steven Spielberg - Net worth: $4.8 billion\n3. Michael Jordan - Net worth: $3.2 billion\n4. Oprah Winfrey - Net worth: $2.8 billion\n5. Jay-Z - Net worth: $2.5 billion\n6. Kim Kardashian - Net worth: $1.7 billion\n7. Peter Jackson - Net worth: $1.5 billion\n8. Tyler Perry - Net worth: $1.4 billion\n9. Rihanna - Net worth: $1.4 billion\n10. Tiger Woods - Net worth: $1.3 billion', 'HT']",Top 10 richest celebrities in the world 2024:,44,6,1,
feelings.wala.ladka,['NA'],Now only South directors can save him,370,6,77,
adhey_entertainment,['NA'],"Ameku constable avalanna dream undedi anta so thana dream full fill cheyalani ankunnadu, Thana husband sampadhana thana chaduvu ki saripovatledhu ani .. labour paniki velli extra time work chesi mari chadivipinchadu anta..ipudu constable job ochaka divorce kavali antundhi anta🙂🥲...",77,2,1,
bollywood.cocktail,['anushkasharma'],Anushka Sharma,1.7K,7,6,
_vardhandhfm_,"['SS Rajamouli has officially signed Prithviraj to play the antagonist in his upcoming film with Mahesh Babu. Prithviraj is thrilled about his first-ever collaboration with both Rajamouli and Mahesh Babu, especially since the character he will portray is well-written with its own compelling arc and backstory that justifies his actions. The film promises to push the boundaries of Indian cinema with never-seen-before visuals,']",#SSMB29 - 𝐌𝐚𝐡𝐞𝐬𝐡 𝐁𝐚𝐛𝐮 - 𝐒𝐒 𝐑𝐚𝐣𝐚𝐦𝐨𝐮𝐥𝐢 - 𝐏𝐫𝐢𝐭𝐡𝐯𝐢𝐫𝐚𝐣,50,1,45,
deepikapcrazens,['NA'],Deepika Padukone and Ranveer Singh spotted post watching #Kalki2898AD💜 #DeepikaPCrazens,45,56,56,
thecrazybuff,['Tollywood #Bollywood #Kollywood #Hollywood #Telugu #Hindi #Tamil #Kannada #Malayalam #Prabhas #MaheshBabu #NTR #JrNTR #PawanKalyan #RamCharan #AlluArjun #ViralReels #ComedyReels #ComedyVideos #TrendingSongs #TrendingReels #TheCrazyBuff'],"🅕🅞🅛🅛🅞🅦 👉 @TheCrazyBuff
#kalki #kalki2898ad #dulquersalmaan #parashurama #nagashwin #amitabhbachchan
#prabhasfans",56,3.2K,3.2K,
lovercuddle,['NA'],Swim away!!!! 😭,3.2K,101,102,
netflix_in,['NA'],Which is the first malayalam movie you ever watched?🤔,19,10,1,
tanjiiro.tt,['NA'],Happy Birthday Tamayo sama ✨💜,178179,79,79,
bollywoodbuzz95,['NA'],"Describe in one word ?
radhikamerchant 🤩🥰",79,214,4.6K,
kollywood__street,['NA'],எசக்கு புசக்காக தவறி விழுந்த அந்த குரங்கை மருத்துவம் செய்யும் பொழுது மனிதர்கள் எப்படி வலியை பிரதிபலிப்பார்களோ அப்படியே உள்ளது.,4.6K,41,25,
glamsham,"['Glamsham #SRK #AbhijeeBhattacharya #Bollywood #IndianCinema #Celebs', '( Controversy, Bollywood, Celebs, SRK, Abhijeet Singer )']","Abhijeet Bhattacharya, the singer behind Shahrukh Khan's hit tracks, expressed frustration over not being credited for his work. This has sparked a rift between them, with Abhijeet openly airing his disappointment in a recent interview 👀",3,250,250,
massagemagic1,['NA'],Friends with backache after sitting for a long time can try it  #lowerbackpain,250,10,10,
telugufilmnagar,"['- @nag_ashwin via Insta story.', 'Prabhas #Kalki2898AD #TeluguFilmNagar']","This man sitting casually there is the reason for all this, 𝐮𝐧𝐛𝐢𝐚𝐬𝐞𝐝𝐥𝐲 𝐭𝐡𝐞 𝐛𝐢𝐠𝐠𝐞𝐬𝐭 𝐛𝐨𝐱 𝐨𝐟𝐟𝐢𝐜𝐞 𝐬𝐭𝐚𝐫 𝐨𝐟 𝐭𝐡𝐢𝐬 𝐞𝐫𝐚... He gave our production the confidence to do what we did, he gave me the freedom to do what i did...and so many intelligent inputs helped guide the film to what it is... 𝐞𝐯𝐞𝐫𝐲𝐨𝐧𝐞’𝐬 𝐝𝐚𝐫𝐥𝐢𝐧𝐠, 𝐨𝐮𝐫 𝐁𝐡𝐚𝐢𝐫𝐚𝐯𝐚 𝐚𝐧𝐝 𝐧𝐨𝐰 𝐭𝐡𝐞 𝐰𝐨𝐫𝐥𝐝’𝐬 𝐊_ _ _ _ _ .🔥🔥",28,15,15,
filmipedia_,['NA'],Watched?,15,6,6,
wirallybuzz,['NA'],#kalkiad2898ad,6,36,36,
knowfact__,"['1. 🇺🇲 Microsoft: $3.41 trillion\n2.🇺🇲 Apple: $3.37 trillion\n3. 🇺🇲 Alphabet (Google): $2.29 trillion\n4. 🇺🇲 Oracle: $394 billion\n5.🇺🇲 Adobe: $251 billion\n6. 🇺🇲 Salesforce: $248 billion\n7. 🇩🇪 SAP: $232 billion\n8. 🇺🇲 Intuit: $183 billion\n9. 🇺🇲 ServiceNow: $163 billion\n10. 🇺🇲 IBM: $162 billion\n11. 🇫🇷 Schneider Electric: $135 billion\n12. 🇺🇲 Palo Alto Networks: $110 billion', 'As of July 02, 2024']","World's top 12 most valuable software companies by market cap, July 2024:",36,2,2,
lovelypavan_kalyan,['NA'],"#OG lo okka role set cheyandaya..💥💥
Akhira babu ki..🤙🏻🥵🥵@sujeethsign",1.3K,8,8,NA
chennaiipedia,['NA'],Indian 3 🔥,502,3,3,NA
latestly,['RanveerSingh #DeepikaPadukone #Prabhas #Kalki2898AD #AmitabhBachchan'],"Ranveer Singh Reviews Kalki 2898 AD, Praises Wife Deepika Padukone Saying ‘You Are Beyond Compare’",NA,39,39,NA
pakkaa_entertainment,['kalki #klaki2829ad #prabhas #posts #prabhasposts #entertainment #pakkaaentertainment #manalnievadraaapedi'],Manalnievadra aapedi......,39,NA,NA,NA
